group,id,course,semester,grade
1,40,Agriculture and Horticulture,1,4
1,40,Agriculture and Horticulture,1,5
1,40,Agriculture and Horticulture,1,8
1,40,Agriculture and Horticulture,1,9
1,40,Agriculture and Horticulture,1,6
1,40,Agriculture and Horticulture,1,7
1,40,Agriculture and Horticulture,1,9
1,40,Agriculture and Horticulture,1,7
1,40,Architecture and Sculpture,1,10.7
1,40,Architecture and Sculpture,1,11.4
1,40,Astrology and Divination,1,12.5
1,40,Astrology and Divination,1,12.5
1,40,Astrology and Divination,1,10.5
1,40,Astrology and Divination,1,9.5
1,40,Astrology and Divination,1,14.5
1,40,Buddhist Philosophy and Meditation,1,7.1
1,40,Buddhist Philosophy and Meditation,1,10.4
1,40,Buddhist Philosophy and Meditation,1,8.4
1,40,Buddhist Philosophy and Meditation,1,10
1,40,Buddhist Philosophy and Meditation,1,10.4
1,40,Buddhist Philosophy and Meditation,1,12.8
1,40,Buddhist Philosophy and Meditation,1,12.4
1,40,Buddhist Philosophy and Meditation,1,9
1,40,Buddhist Philosophy and Meditation,1,11.7
1,40,History and Civilization of Southeast Asia,1,6.5
1,40,History and Civilization of Southeast Asia,1,8
1,40,History and Civilization of Southeast Asia,1,12.5
1,40,History and Civilization of Southeast Asia,1,4.5
1,40,History and Civilization of Southeast Asia,1,6.5
1,40,History and Civilization of Southeast Asia,1,2.5
1,40,History and Civilization of Southeast Asia,1,7.5
1,40,History and Civilization of Southeast Asia,1,18.5
1,40,History and Civilization of Southeast Asia,1,9
1,40,Language and Linguistics,1,7.25
1,40,Language and Linguistics,1,10.75
1,40,Language and Linguistics,1,8.25
1,40,Language and Linguistics,1,6.75
1,40,Language and Linguistics,1,8.75
1,40,Language and Linguistics,1,6.25
1,40,Language and Linguistics,1,8.25
1,40,Language and Linguistics,1,7.5
1,40,Martial Arts and Self-Defense,2,13.2
1,40,Martial Arts and Self-Defense,2,15.1
1,40,Martial Arts and Self-Defense,2,16.7
1,40,Martial Arts and Self-Defense,2,13.5
1,40,Martial Arts and Self-Defense,2,11.3
1,40,Martial Arts and Self-Defense,2,14.9
1,40,Music and Dance,1,9
1,40,Music and Dance,1,20
1,40,Music and Dance,1,11.5
1,40,Music and Dance,1,9.5
1,40,Music and Dance,1,11.5
1,40,Music and Dance,1,11
1,40,Music and Dance,1,15.5
1,40,Music and Dance,1,15.5
1,40,Music and Dance,1,16.5
1,40,Spirituality and Rituals,2,10.5
